interaction_key,condition,relationship_raw,relationship,canonical_r,null_z,null_mean,null_std,T,D_features,cca_a_std,cca_b_std,cca_a_max_abs,cca_b_max_abs
V00_S0274_I00000128,naturalistic,familiar,familiar,0.42020272909255874,7.1633315713545676,0.013673414506157514,0.056751430606963735,5520,31,0.78465363907806,0.7589877737866781,4.58447199968153,5.518608882839332
V00_S0274_I00000129,naturalistic,familiar,familiar,0.6549144261460229,9.470040741928154,-0.0006890371777797367,0.0692292125440548,4438,31,0.614199759462337,0.8503214593079155,7.683361598262453,7.977359621544916
V00_S0274_I00000130,naturalistic,familiar,familiar,0.5950699558493568,8.285456650270401,-0.0008318474163711207,0.07192141947255018,5400,31,0.5333311847128033,0.6924088765447455,6.431017491638372,7.59014785239369
V00_S0274_I00000132,naturalistic,familiar,familiar,0.419264394874264,6.909742341369829,-0.007051111134449051,0.061697742831348136,6840,31,0.44722441978126626,0.6213956493030145,4.4727909668981285,10.140399540215475
V00_S0274_I00000134,naturalistic,familiar,familiar,0.425470665604696,7.155987770629796,-0.0007832791885562851,0.05956605271779801,7440,31,0.7002666857881565,0.7388516189022611,4.913358703373158,6.352137771196802
V00_S0274_I00000135,naturalistic,familiar,familiar,0.5966236951326416,8.978064834750242,0.0074168827021415225,0.06562737330097383,4440,31,0.8038579605927011,0.9361529583889071,10.5888670766425,10.411114563731827
V00_S0274_I00000138,naturalistic,familiar,familiar,0.48536343912594543,7.825516604607757,-0.009672041746650739,0.0632591438859274,5400,31,0.5253146155022403,0.6053993086929715,4.434521800327948,5.045524011832987
V00_S0274_I00000139,naturalistic,familiar,familiar,0.7052768771880441,8.553272312595755,0.0016469787574436485,0.08226440977383803,2490,31,0.601757714049868,0.5545298427791818,3.8840090693092817,3.522742960368862
V00_S0274_I00000462,naturalistic,familiar,familiar,0.6515237195357346,9.340042925476725,0.005968196993449193,0.06911697598106442,4920,31,0.6322164263622948,0.6894163310645076,5.870002084117529,7.375297021178993
V00_S0274_I00000497,naturalistic,familiar,familiar,0.6196632549691132,8.827973185830107,-0.0012518944804415537,0.07033496096773308,8226,31,0.7443760899298835,0.8125046767250022,13.087797391416881,19.948592508289526
V00_S0305_I00000138,naturalistic,stranger,stranger,0.6436588217350396,8.505018397182752,0.017154309272659492,0.0736629226657413,2512,31,0.5717957503148279,0.6122809535768939,5.880024306400151,6.618832376148736
V00_S0305_I00000371,naturalistic,stranger,stranger,0.5286375805198146,7.8021110742588435,-0.003211232752834166,0.06816729577554385,4094,31,0.4481107784518246,0.893062154482725,2.913972689088639,3.476814700253479
V00_S0305_I00000373,naturalistic,stranger,stranger,0.6420073172198966,10.178707884670827,-0.00543384986595508,0.06360740227754257,2451,31,0.6410020611528673,0.5857361119960018,5.538813179444624,3.9543877922696504
